#Wavelength[A]	Energy Flux Density[erg/s/A/cm2]
         6566.278568 	     1.5036913853e+02
         6566.213677 	     1.5436653815e+02
         6566.148787 	     1.5852697109e+02
         6566.083898 	     1.6285963028e+02
         6566.019010 	     1.6737419869e+02
         6565.954124 	     1.7208122831e+02
         6565.889239 	     1.7699253149e+02
         6565.824355 	     1.8212080410e+02
         6565.759473 	     1.8748001765e+02
         6565.694592 	     1.9308580891e+02
         6565.629712 	     1.9895587446e+02
         6565.564833 	     2.0511066018e+02
         6565.499956 	     2.1157427417e+02
         6565.435080 	     2.1837589117e+02
         6565.370205 	     2.2555176681e+02
         6565.305332 	     2.3314812050e+02
         6565.240460 	     2.4122534953e+02
         6565.175589 	     2.4986408381e+02
         6565.110719 	     2.5917382220e+02
         6565.045851 	     2.6930517193e+02
         6564.980984 	     2.8046699755e+02
         6564.916118 	     2.9295031402e+02
         6564.851254 	     3.0716131410e+02
         6564.786391 	     3.2366642073e+02
         6564.721529 	     3.4325341386e+02
         6564.656668 	     3.6701326165e+02
         6564.591809 	     3.9644876048e+02
         6564.526951 	     4.3361727527e+02
         6564.462094 	     4.8131627104e+02
         6564.397238 	     5.4332160119e+02
         6564.332384 	     6.2469097144e+02
         6564.267531 	     7.3214485432e+02
         6564.202680 	     8.7454036138e+02
         6564.137829 	     1.0634525355e+03
         6564.072980 	     1.3138797987e+03
         6564.008132 	     1.6450882098e+03
         6563.943286 	     2.0816101004e+03
         6563.878441 	     2.6544080244e+03
         6563.813597 	     3.4022145347e+03
         6563.748754 	     4.3730506920e+03
         6563.683913 	     5.6259276184e+03
         6563.619072 	     7.2327186901e+03
         6563.554234 	     9.2802050067e+03
         6563.489396 	     1.1872268873e+04
         6563.424560 	     1.5132242636e+04
         6563.359725 	     1.9205401140e+04
         6563.294891 	     2.4261628974e+04
         6563.230059 	     3.0498305208e+04
         6563.165228 	     3.8143534305e+04
         6563.100398 	     4.7459901978e+04
         6563.035569 	     5.8749074975e+04
         6562.970742 	     7.2357726030e+04
         6562.905916 	     8.8685516406e+04
         6562.841091 	     1.0819619412e+05
         6562.776268 	     1.3143340666e+05
         6562.711445 	     1.5904346144e+05
         6562.646624 	     1.9180854058e+05
         6562.581805 	     2.3069552240e+05
         6562.516986 	     2.7692831187e+05
         6562.452169 	     3.3209302683e+05
         6562.387354 	     3.9831590888e+05
         6562.322539 	     4.7849161767e+05
         6562.257726 	     5.7667663440e+05
         6562.192914 	     6.9866690260e+05
         6562.128103 	     8.5284648647e+05
         6562.063294 	     1.0513452864e+06
         6561.998486 	     1.3113860157e+06
         6561.933679 	     1.6562877421e+06
         6561.868873 	     2.1148315516e+06
         6561.804069 	     2.7167510037e+06
         6561.739266 	     3.4820529567e+06
         6561.674465 	     4.4046196647e+06
         6561.609664 	     5.4372086098e+06
         6561.544865 	     6.4913017726e+06
         6561.480067 	     7.4607975298e+06
         6561.415271 	     8.2596156926e+06
         6561.350475 	     8.8473393079e+06
         6561.285681 	     9.2274104250e+06
         6561.220888 	     9.4245511132e+06
         6561.156097 	     9.4606013057e+06
         6561.091307 	     9.3400527502e+06
         6561.026518 	     9.0459509724e+06
         6560.961730 	     8.5459764193e+06
         6560.896944 	     7.8114913756e+06
         6560.832159 	     6.8480007354e+06
         6560.767375 	     5.7193951921e+06
         6560.702593 	     4.5410985936e+06
         6560.637811 	     3.4402363182e+06
         6560.573031 	     2.5089793360e+06
         6560.508253 	     1.7830940783e+06
         6560.443475 	     1.2509703729e+06
         6560.378699 	     8.7633981228e+05
         6560.313924 	     6.1810302469e+05
         6560.249151 	     4.4101195299e+05
         6560.184379 	     3.1878711056e+05
         6560.119608 	     2.3330441500e+05
         6560.054838 	     1.7255645268e+05
         6559.990070 	     1.2870119108e+05
         6559.925302 	     9.6599315914e+04
         6559.860536 	     7.2833380947e+04
         6559.795772 	     5.5084528720e+04
         6559.731009 	     4.1744562061e+04
         6559.666247 	     3.1674533886e+04
         6559.601486 	     2.4052584743e+04
         6559.536726 	     1.8276141332e+04
         6559.471968 	     1.3897597952e+04
         6559.407211 	     1.0581013102e+04
         6559.342456 	     8.0722754070e+03
         6559.277701 	     6.1781033946e+03
         6559.212948 	     4.7509595277e+03
         6559.148196 	     3.6780203883e+03
         6559.083446 	     2.8729877645e+03
         6559.018696 	     2.2699224817e+03
         6558.953948 	     1.8185511546e+03
         6558.889202 	     1.4806644889e+03
         6558.824456 	     1.2273342749e+03
         6558.759712 	     1.0367579384e+03
         6558.694969 	     8.9258482075e+02
         6558.630228 	     7.8261694780e+02
         6558.565487 	     6.9780434056e+02
         6558.500748 	     6.3146922430e+02
         6558.436011 	     5.7871048271e+02
         6558.371274 	     5.3594928956e+02
         6558.306539 	     5.0058428483e+02
         6558.241805 	     4.7073184756e+02
         6558.177072 	     4.4503191805e+02
         6558.112341 	     4.2250386240e+02
         6558.047611 	     4.0244039392e+02
         6557.982882 	     3.8433003862e+02
         6557.918155 	     3.6780094240e+02
         6557.853428 	     3.5258035478e+02
         6557.788703 	     3.3846583848e+02
         6557.723980 	     3.2530463591e+02
         6557.659257 	     3.1297935929e+02
         6557.594536 	     3.0139775711e+02
         6557.529816 	     2.9048562795e+02
         6557.465098 	     2.8018188331e+02
         6557.400380 	     2.7043516726e+02
         6557.335664 	     2.6120142733e+02
         6557.270950 	     2.5244221563e+02
         6557.206236 	     2.4412351285e+02
         6557.141524 	     2.3621492140e+02
         6557.076813 	     2.2868898304e+02
         6557.012103 	     2.2152076483e+02
         6556.947395 	     2.1468752125e+02
         6556.882688 	     2.0816835101e+02
         6556.817982 	     2.0194406469e+02
         6556.753278 	     1.9599694843e+02
         6556.688574 	     1.9031062745e+02
         6556.623872 	     1.8486995256e+02
         6556.559172 	     1.7966086268e+02
         6556.494472 	     1.7467032200e+02
         6556.429774 	     1.6988617648e+02
         6556.365077 	     1.6529713967e+02
         6556.300382 	     1.6089267610e+02
         6556.235687 	     1.5666276516e+02
         6556.170994 	     1.5259826512e+02
         6556.106303 	     1.4869086224e+02
         6556.041612 	     1.4493246354e+02
         6555.976923 	     1.4131556448e+02
