# Distance  Fibre_OffAxis
0.00000000e+00 3.46817044e-04
4.08673895e-03 4.27510163e-04
1.45954962e-02 1.44595123e-02
2.33527940e-02 1.25395475e-01
3.61968307e-02 4.23214724e-01
4.02835696e-02 4.32184360e-01
4.90408674e-02 2.45327221e-01
5.07923269e-02 1.61280063e-01
5.48790659e-02 6.97031271e-02
5.77981651e-02 2.82881489e-02
6.30525438e-02 1.17240501e-02
6.59716430e-02 1.98047800e-02
6.77231026e-02 2.54720989e-02
7.18098415e-02 3.41646188e-02
7.70642202e-02 2.82881489e-02
7.99833194e-02 1.89912856e-02
8.29024187e-02 1.12424937e-02
8.69891576e-02 4.02369748e-03
8.99082569e-02 1.89168253e-03
9.45788157e-02 1.44049687e-03
9.92493745e-02 2.05713585e-03
1.03336113e-01 2.10071381e-03
1.12677231e-01 1.57034800e-03
1.19099249e-01 1.41062121e-03
1.22018349e-01 1.33801989e-03
1.26105088e-01 1.23535336e-03
1.30775646e-01 1.09395016e-03
1.39532944e-01 8.42772775e-04
1.44203503e-01 7.12629632e-04
1.48874062e-01 5.96983573e-04
1.52960801e-01 4.90528415e-04
1.62301918e-01 3.65911322e-04
1.66388657e-01 3.41882002e-04
1.71059216e-01 3.15270058e-04
1.75729775e-01 2.97330475e-04
1.80400334e-01 2.96720640e-04
1.84487073e-01 2.96828667e-04
1.89157631e-01 2.87629826e-04
1.93828190e-01 2.77491283e-04
1.98498749e-01 2.72005898e-04
2.03169308e-01 2.70078545e-04
2.07256047e-01 2.68470275e-04
2.16597164e-01 2.61223210e-04
2.24186822e-01 2.55922050e-04
2.34111760e-01 2.56550936e-04
2.38782319e-01 2.56094459e-04
2.44036697e-01 2.52045611e-04
2.48707256e-01 2.45838220e-04
2.57464554e-01 2.32009713e-04
2.61551293e-01 2.25678541e-04
2.72060050e-01 2.13042526e-04
2.77898249e-01 2.08833172e-04
2.87239366e-01 2.01702692e-04
2.97748123e-01 1.93484631e-04
3.05921601e-01 1.95609872e-04
3.17597998e-01 2.00869156e-04
3.25187656e-01 2.03477049e-04
3.35112594e-01 2.05846743e-04
3.38615513e-01 2.08658739e-04
3.43286072e-01 2.13761776e-04
3.52043369e-01 2.24042096e-04
3.56130108e-01 2.26755862e-04
3.65471226e-01 2.28795973e-04
3.70141785e-01 2.30387917e-04
3.79482902e-01 2.30326525e-04
3.88824020e-01 2.20110387e-04
3.93494579e-01 2.12693734e-04
4.02835696e-01 2.10964945e-04
4.06338616e-01 2.11812475e-04
4.10425354e-01 2.15528933e-04
4.20350292e-01 2.13287241e-04
4.24437031e-01 2.14730623e-04
4.29107590e-01 2.12555365e-04
4.42535446e-01 1.93622039e-04
4.51876564e-01 1.72907674e-04
4.61217681e-01 1.54252953e-04
4.65304420e-01 1.58280399e-04
4.71726439e-01 1.61862078e-04
4.79899917e-01 1.65711453e-04
4.88073394e-01 1.64341885e-04
4.92160133e-01 1.58024389e-04
4.96830692e-01 1.56338015e-04
5.06755630e-01 1.41552278e-04
5.10842369e-01 1.34530554e-04
5.24270225e-01 1.11315831e-04
5.32443703e-01 1.04651011e-04
5.37698082e-01 1.01888983e-04
5.47039199e-01 9.73772143e-05
5.53461218e-01 9.22860068e-05
5.63386155e-01 8.35109624e-05
5.76230192e-01 7.33059188e-05
5.83236030e-01 6.93095920e-05
5.91993328e-01 6.51630292e-05
6.01918265e-01 6.13692300e-05
6.14178482e-01 5.82839236e-05
6.21184320e-01 5.64109195e-05
6.28190158e-01 5.35375411e-05
6.34612177e-01 5.05248652e-05
6.39866555e-01 4.79487698e-05
6.46288574e-01 4.46486358e-05
6.50959133e-01 4.43040508e-05
6.56797331e-01 4.47838806e-05
6.67889908e-01 6.67627137e-05
6.72560467e-01 7.93162027e-05
6.80150125e-01 1.11964157e-04
6.85404504e-01 1.34116551e-04
6.86572143e-01 1.39066833e-04
6.91242702e-01 1.59109267e-04
6.95913261e-01 1.79335210e-04
7.00000000e-01 1.96814495e-04
