# Distance  Fibre_OffAxis
0.00000000e+00 3.46817044e-04
7.00700701e-04 3.49729330e-04
1.40140140e-03 3.58019114e-04
2.10210210e-03 3.71015786e-04
2.80280280e-03 3.88048736e-04
3.50350350e-03 4.08447355e-04
4.20420420e-03 4.33427560e-04
4.90490490e-03 5.47654945e-04
5.60560561e-03 7.94917730e-04
6.30630631e-03 1.17222809e-03
7.00700701e-03 1.67659821e-03
7.70770771e-03 2.30504027e-03
8.40840841e-03 3.05456643e-03
9.10910911e-03 3.92218889e-03
9.80980981e-03 4.90491982e-03
1.05105105e-02 5.99977140e-03
1.12112112e-02 7.20375580e-03
1.19119119e-02 8.51388521e-03
1.26126126e-02 9.92717181e-03
1.33133133e-02 1.14406278e-02
1.40140140e-02 1.30512653e-02
1.47147147e-02 1.47821534e-02
1.54154154e-02 1.77436928e-02
1.61161161e-02 2.23940632e-02
1.68168168e-02 2.85509837e-02
1.75175175e-02 3.60321734e-02
1.82182182e-02 4.46553515e-02
1.89189189e-02 5.42382371e-02
1.96196196e-02 6.45985493e-02
2.03203203e-02 7.55540071e-02
2.10210210e-02 8.69223299e-02
2.17217217e-02 9.85212366e-02
2.24224224e-02 1.10168446e-01
2.31231231e-02 1.21681678e-01
2.38238238e-02 1.33541100e-01
2.45245245e-02 1.47605186e-01
2.52252252e-02 1.63699104e-01
2.59259259e-02 1.81487787e-01
2.66266266e-02 2.00636172e-01
2.73273273e-02 2.20809193e-01
2.80280280e-02 2.41671784e-01
2.87287287e-02 2.62888882e-01
2.94294294e-02 2.84125421e-01
3.01301301e-02 3.05046335e-01
3.08308308e-02 3.25316561e-01
3.15315315e-02 3.44601032e-01
3.22322322e-02 3.62564685e-01
3.29329329e-02 3.78872453e-01
3.36336336e-02 3.93189273e-01
3.43343343e-02 4.05180078e-01
3.50350350e-02 4.14509804e-01
3.57357357e-02 4.20843387e-01
3.64364364e-02 4.24048812e-01
3.71371371e-02 4.26376955e-01
3.78378378e-02 4.28454677e-01
3.85385385e-02 4.30173211e-01
3.92392392e-02 4.31423792e-01
3.99399399e-02 4.32097654e-01
4.06406406e-02 4.31728803e-01
4.13413413e-02 4.28292662e-01
4.20420420e-02 4.21722106e-01
4.27427427e-02 4.12296405e-01
4.34434434e-02 4.00294827e-01
4.41441441e-02 3.85996643e-01
4.48448448e-02 3.69681120e-01
4.55455455e-02 3.51627529e-01
4.62462462e-02 3.32115138e-01
4.69469469e-02 3.11423216e-01
4.76476476e-02 2.89831033e-01
4.83483483e-02 2.67617857e-01
4.90490490e-02 2.45061162e-01
4.97497497e-02 2.12538415e-01
5.04504505e-02 1.75011585e-01
5.11511512e-02 1.50193069e-01
5.18518519e-02 1.30832262e-01
5.25525526e-02 1.14039218e-01
5.32532533e-02 9.92639675e-02
5.39539540e-02 8.59565420e-02
5.46546547e-02 7.35669726e-02
5.53553554e-02 6.13886111e-02
5.60560561e-02 4.92953242e-02
5.67567568e-02 3.86056413e-02
5.74574575e-02 3.07059769e-02
5.81581582e-02 2.63502593e-02
5.88588589e-02 2.28252050e-02
5.95595596e-02 1.96773285e-02
6.02602603e-02 1.69674446e-02
6.09609610e-02 1.47563683e-02
6.16616617e-02 1.31049145e-02
6.23623624e-02 1.20738979e-02
6.30630631e-02 1.17242507e-02
6.37637638e-02 1.25357493e-02
6.44644645e-02 1.45077431e-02
6.51651652e-02 1.70265891e-02
6.58658659e-02 1.94786445e-02
6.65665666e-02 2.17490681e-02
6.72672673e-02 2.41254434e-02
6.79679680e-02 2.61331771e-02
6.86686687e-02 2.81273113e-02
6.93693694e-02 3.01169540e-02
7.00700701e-02 3.19025660e-02
7.07707708e-02 3.32846084e-02
7.14714715e-02 3.40635421e-02
7.21721722e-02 3.41249974e-02
7.28728729e-02 3.38379711e-02
7.35735736e-02 3.33050590e-02
7.42742743e-02 3.25637934e-02
7.49749750e-02 3.16517065e-02
7.56756757e-02 3.06063307e-02
7.63763764e-02 2.94651982e-02
7.70770771e-02 2.82656647e-02
7.77777778e-02 2.65681309e-02
7.84784785e-02 2.42267910e-02
7.91791792e-02 2.16629753e-02
7.98798799e-02 1.92980142e-02
8.05805806e-02 1.72652464e-02
8.12812813e-02 1.52860725e-02
8.19819820e-02 1.34181291e-02
8.26826827e-02 1.17263966e-02
8.33833834e-02 1.02133237e-02
8.40840841e-02 8.74534547e-03
8.47847848e-02 7.35636127e-03
8.54854855e-02 6.09302215e-03
8.61861862e-02 5.00197911e-03
8.68868869e-02 4.12988317e-03
8.75875876e-02 3.42725794e-03
8.82882883e-02 2.78675007e-03
8.89889890e-02 2.27071357e-03
8.96896897e-02 1.94437592e-03
9.03903904e-02 1.80794633e-03
9.10910911e-02 1.69992750e-03
9.17917918e-02 1.60912112e-03
9.24924925e-02 1.53665132e-03
9.31931932e-02 1.48364222e-03
9.38938939e-02 1.45121796e-03
9.45945946e-02 1.44051690e-03
9.52952953e-02 1.47777605e-03
9.59959960e-02 1.57056230e-03
9.66966967e-02 1.69572187e-03
9.73973974e-02 1.83010097e-03
9.80980981e-02 1.95054584e-03
9.87987988e-02 2.03390269e-03
9.94994995e-02 2.06187489e-03
1.00200200e-01 2.07395753e-03
1.00900901e-01 2.08409113e-03
1.01601602e-01 2.09203345e-03
1.02302302e-01 2.09754228e-03
1.03003003e-01 2.10037541e-03
1.03703704e-01 2.09627818e-03
1.04404404e-01 2.06517440e-03
1.05105105e-01 2.00853916e-03
1.05805806e-01 1.93133875e-03
1.06506507e-01 1.83853947e-03
1.07207207e-01 1.73510760e-03
1.07907908e-01 1.62600944e-03
1.08608609e-01 1.51621128e-03
1.09309309e-01 1.41067940e-03
1.10010010e-01 1.31438010e-03
1.10710711e-01 1.23227968e-03
1.11411411e-01 1.16934442e-03
1.12112112e-01 1.13054061e-03
1.12812813e-01 1.12043911e-03
1.13513514e-01 1.12854160e-03
1.14214214e-01 1.14691102e-03
1.14914915e-01 1.17374654e-03
1.15615616e-01 1.20724734e-03
1.16316316e-01 1.24561260e-03
1.17017017e-01 1.28704149e-03
1.17717718e-01 1.32973318e-03
1.18418418e-01 1.37188686e-03
1.19119119e-01 1.41171483e-03
1.19819820e-01 1.46174932e-03
1.20520521e-01 1.52179604e-03
1.21221221e-01 1.57367551e-03
1.21921922e-01 1.59920827e-03
1.22622623e-01 1.59880251e-03
1.23323323e-01 1.59582385e-03
1.24024024e-01 1.59087881e-03
1.24724725e-01 1.58415860e-03
1.25425425e-01 1.57585440e-03
1.26126126e-01 1.56614251e-03
1.26826827e-01 1.53907948e-03
1.27527528e-01 1.48572728e-03
1.28228228e-01 1.41388019e-03
1.28928929e-01 1.33133246e-03
1.29629630e-01 1.24587835e-03
1.30330330e-01 1.16531212e-03
1.31031031e-01 1.09555309e-03
1.31731732e-01 1.02207927e-03
1.32432432e-01 9.41985335e-04
1.33133133e-01 8.57705971e-04
1.33833834e-01 7.71675872e-04
1.34534535e-01 6.86329730e-04
1.35235235e-01 6.04102236e-04
1.35935936e-01 5.27428081e-04
1.36636637e-01 4.58741958e-04
1.37337337e-01 4.00478558e-04
1.38038038e-01 3.55072572e-04
1.38738739e-01 3.24958693e-04
1.39439439e-01 3.12571612e-04
1.40140140e-01 3.12390171e-04
1.40840841e-01 3.12390171e-04
1.41541542e-01 3.12390171e-04
1.42242242e-01 3.12390171e-04
1.42942943e-01 3.12390171e-04
1.43643644e-01 3.12390171e-04
1.44344344e-01 3.12632425e-04
1.45045045e-01 3.20234863e-04
1.45745746e-01 3.36036054e-04
1.46446446e-01 3.56690657e-04
1.47147147e-01 3.78853335e-04
1.47847848e-01 3.99178747e-04
1.48548549e-01 4.14321556e-04
1.49249249e-01 4.22443830e-04
1.49949950e-01 4.29236546e-04
1.50650651e-01 4.35342176e-04
1.51351351e-01 4.40374975e-04
1.52052052e-01 4.43949193e-04
1.52752753e-01 4.45679084e-04
1.53453453e-01 4.43992121e-04
1.54154154e-01 4.35829851e-04
1.54854855e-01 4.22083657e-04
1.55555556e-01 4.03878769e-04
1.56256256e-01 3.82340419e-04
1.56956957e-01 3.58593838e-04
1.57657658e-01 3.33764257e-04
1.58358358e-01 3.08976908e-04
1.59059059e-01 2.85357021e-04
1.59759760e-01 2.64029828e-04
1.60460460e-01 2.46120560e-04
1.61161161e-01 2.32754448e-04
1.61861862e-01 2.25056723e-04
1.62562563e-01 2.23852909e-04
1.63263263e-01 2.26523811e-04
1.63963964e-01 2.31653666e-04
1.64664665e-01 2.38562349e-04
1.65365365e-01 2.46569735e-04
1.66066066e-01 2.54995699e-04
1.66766767e-01 2.64209446e-04
1.67467467e-01 2.78223492e-04
1.68168168e-01 2.95408568e-04
1.68868869e-01 3.13308875e-04
1.69569570e-01 3.29468612e-04
1.70270270e-01 3.41431980e-04
1.70970971e-01 3.46743181e-04
1.71671672e-01 3.46519725e-04
1.72372372e-01 3.45492349e-04
1.73073073e-01 3.43800497e-04
1.73773774e-01 3.41516111e-04
1.74474474e-01 3.38711134e-04
1.75175175e-01 3.35457507e-04
1.75875876e-01 3.31622017e-04
1.76576577e-01 3.21705823e-04
1.77277277e-01 3.05421124e-04
1.77977978e-01 2.85739057e-04
1.78678679e-01 2.65630756e-04
1.79379379e-01 2.48067357e-04
1.80080080e-01 2.36019996e-04
1.80780781e-01 2.30980266e-04
1.81481481e-01 2.27282809e-04
1.82182182e-01 2.24109508e-04
1.82882883e-01 2.21591780e-04
1.83583584e-01 2.19861040e-04
1.84284284e-01 2.19048703e-04
1.84984985e-01 2.20915599e-04
1.85685686e-01 2.29184025e-04
1.86386386e-01 2.42308003e-04
1.87087087e-01 2.58443704e-04
1.87787788e-01 2.75747301e-04
1.88488488e-01 2.92374964e-04
1.89189189e-01 3.06490484e-04
1.89889890e-01 3.20386832e-04
1.90590591e-01 3.35913686e-04
1.91291291e-01 3.51543326e-04
1.91991992e-01 3.65748031e-04
1.92692693e-01 3.77000080e-04
1.93393393e-01 3.83771753e-04
1.94094094e-01 3.84867348e-04
1.94794795e-01 3.82758750e-04
1.95495495e-01 3.78600597e-04
1.96196196e-01 3.72782853e-04
1.96896897e-01 3.65695480e-04
1.97597598e-01 3.57728441e-04
1.98298298e-01 3.49271698e-04
1.98998999e-01 3.39006030e-04
1.99699700e-01 3.23409702e-04
2.00400400e-01 3.04232958e-04
2.01101101e-01 2.83523074e-04
2.01801802e-01 2.63327325e-04
2.02502503e-01 2.45692988e-04
2.03203203e-01 2.32658892e-04
2.03903904e-01 2.22106965e-04
2.04604605e-01 2.11781484e-04
2.05305305e-01 2.02512077e-04
2.06006006e-01 1.95128374e-04
2.06706707e-01 1.90460003e-04
2.07407407e-01 1.89292638e-04
2.08108108e-01 1.90904356e-04
2.08808809e-01 1.94487758e-04
2.09509510e-01 1.99693669e-04
2.10210210e-01 2.06172912e-04
2.10910911e-01 2.13576311e-04
2.11611612e-01 2.21554691e-04
2.12312312e-01 2.29758876e-04
2.13013013e-01 2.37839689e-04
2.13713714e-01 2.45447955e-04
2.14414414e-01 2.52234497e-04
2.15115115e-01 2.57850140e-04
2.15815816e-01 2.61945707e-04
2.16516517e-01 2.64172023e-04
2.17217217e-01 2.65082934e-04
2.17917918e-01 2.65920725e-04
2.18618619e-01 2.66694150e-04
2.19319319e-01 2.67397443e-04
2.20020020e-01 2.68024840e-04
2.20720721e-01 2.68570577e-04
2.21421421e-01 2.69028889e-04
2.22122122e-01 2.69394012e-04
2.22822823e-01 2.69660180e-04
2.23523524e-01 2.69821629e-04
2.24224224e-01 2.69872761e-04
2.24924925e-01 2.69872761e-04
2.25625626e-01 2.69872761e-04
2.26326326e-01 2.69872761e-04
2.27027027e-01 2.69872761e-04
2.27727728e-01 2.69872761e-04
2.28428428e-01 2.69872761e-04
2.29129129e-01 2.69872761e-04
2.29829830e-01 2.69872761e-04
2.30530531e-01 2.69872761e-04
2.31231231e-01 2.69872761e-04
2.31931932e-01 2.69872761e-04
2.32632633e-01 2.69872761e-04
2.33333333e-01 2.69872761e-04
2.34034034e-01 2.69872761e-04
2.34734735e-01 2.69732752e-04
2.35435435e-01 2.69272504e-04
2.36136136e-01 2.68543251e-04
2.36836837e-01 2.67598513e-04
2.37537538e-01 2.66491814e-04
2.38238238e-01 2.65276673e-04
2.38938939e-01 2.63980820e-04
2.39639640e-01 2.62013690e-04
2.40340340e-01 2.59302781e-04
2.41041041e-01 2.56107554e-04
2.41741742e-01 2.52687471e-04
2.42442442e-01 2.49301993e-04
